2017-08-12 02:08:12.532013|INFO    |VirtualServerBase|1  |client disconnected 'friend-too1'(id:3) reason 'reasonmsg=connection lost'
2017-08-12 08:11:06.875420|INFO    |VirtualServerBase|1  |client connected 'MyName'(id:2) from 1.1.1.1:111
2017-08-12 08:11:26.208788|INFO    |VirtualServerBase|1  |client disconnected 'MyName'(id:2) reason 'reasonmsg=I'll be back!'
2017-08-12 08:46:47.374573|INFO    |VirtualServerBase|1  |client connected 'AnotherName'(id:32) from 1.1.1.1:111
2017-08-12 10:32:29.115136|INFO    |VirtualServerBase|1  |client connected 'friend-too'(id:3) from 1.1.1.1:111
2017-08-12 11:00:12.854780|INFO    |VirtualServerBase|1  |client connected 'friend3'(id:366) from 1.1.1.1:111
2017-08-12 11:10:41.076064|INFO    |VirtualServerBase|1  |client disconnected 'friend3'(id:366) reason 'reasonmsg=leaving'
2017-08-12 11:10:43.702028|INFO    |VirtualServerBase|1  |client connected 'friend4'(id:351) from 1.1.1.1:111
2017-08-12 11:11:52.421982|INFO    |VirtualServerBase|1  |client disconnected 'friend4'(id:351) reason 'reasonmsg=verlassen'
2017-08-12 11:30:20.409594|INFO    |VirtualServerBase|1  |client connected 'friend3'(id:366) from 1.1.1.1:111
2017-08-12 11:32:52.996793|INFO    |VirtualServerBase|1  |client disconnected 'friend3'(id:366) reason 'reasonmsg=leaving'
2017-08-12 12:34:16.288916|INFO    |VirtualServerBase|1  |client connected 'Bob2'(id:25) from 1.1.1.1:111
2017-08-12 12:34:38.910228|INFO    |VirtualServerBase|1  |client connected 'MyName'(id:2) from 1.1.1.1:111
2017-08-12 13:00:16.464037|INFO    |VirtualServerBase|1  |client disconnected 'Bob2'(id:25) reason 'reasonmsg=Verlassen'
2017-08-12 14:23:53.740430|INFO    |PktHandler    |1  |Dropping client 3 because of ping timeout 19 0 0
2017-08-12 14:23:53.740516|INFO    |VirtualServerBase|1  |client disconnected 'friend-too'(id:3) reason 'reasonmsg=connection lost'
2017-08-12 14:24:29.865562|INFO    |VirtualServerBase|1  |client connected 'friend-too'(id:3) from 1.1.1.1:111
2017-08-12 17:02:25.560136|INFO    |VirtualServerBase|1  |client connected 'friend42'(id:10) from 1.1.1.1:111
2017-08-12 19:21:12.038526|INFO    |VirtualServerBase|1  |client disconnected 'friend42'(id:10) reason 'reasonmsg=Verlassen'
2017-08-12 20:38:22.547995|INFO    |VirtualServerBase|1  |client connected 'Bob2'(id:25) from 1.1.1.1:111
2017-08-12 21:09:46.499688|INFO    |VirtualServerBase|1  |client disconnected 'Bob2'(id:25) reason 'reasonmsg=Verlassen'
2017-08-12 23:54:05.160785|INFO    |VirtualServerBase|1  |client disconnected 'AnotherName'(id:32) reason 'reasonmsg'
2017-08-13 00:31:02.297965|INFO    |VirtualServerBase|1  |client disconnected 'friend-too'(id:3) reason 'reasonmsg=⋛⋋( ՞ਊ ՞)⋌⋚ CAW CAW ⋛⋋( ՞ਊ ՞)⋌⋚'
2017-08-13 00:39:19.154030|INFO    |VirtualServerBase|1  |client connected 'friend-tooLaptop'(id:175) from 1.1.1.1:111
2017-08-13 00:44:06.684351|INFO    |VirtualServerBase|1  |client disconnected 'friend-tooLaptop'(id:175) reason 'reasonmsg=Verlassen'
2017-08-13 00:44:28.078789|INFO    |VirtualServerBase|1  |client connected 'friend-tooLaptop'(id:175) from 1.1.1.1:111
2017-08-13 00:48:45.421000|INFO    |VirtualServerBase|1  |client disconnected 'friend-tooLaptop'(id:175) reason 'reasonmsg=Verlassen'
2017-08-13 00:49:10.600481|INFO    |VirtualServerBase|1  |client connected 'friend-tooLaptop'(id:175) from 1.1.1.1:111
2017-08-13 01:15:24.555188|INFO    |VirtualServerBase|1  |client disconnected 'MyName'(id:2) reason 'reasonmsg=I'll be back!'
2017-08-13 01:35:38.769974|INFO    |PktHandler    |1  |Dropping client 7 because of ping timeout 19 0 0
